Product Title,Variant Title,Purity,Gold Weight,Diamond Weight,Price,Variant ID,Image 1,Image 2,LocalImage
High End Diamond Tennis Bracelet,18 KT / White Gold,18K,42.6,8.293,779668.0,50942007476512,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/High-End_Silicon_Diamond_Bracelet.jpg?v=1763531606,,High-End_Silicon_Diamond_Bracelet.jpg
Strength Strand Diamond Tennis Bracelet,9 KT / Yellow Gold,9K,28.21,5.842,362751.0,50942007017760,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR922908.jpg?v=1763478212,,SIL-MBR922908.jpg
Strength Strand Diamond Tennis Bracelet,14 KT / Yellow Gold,14K,31.0,5.842,484389.0,50942007116064,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR922908.jpg?v=1763478212,,SIL-MBR922908.jpg
Strength Strand Diamond Tennis Bracelet,18 KT / Yellow Gold,18K,37.2,5.842,643495.0,50942007214368,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SIL-MBR922908.jpg?v=1763478212,,SIL-MBR922908.jpg
Monarch Band Diamond Ceramic Flexi-Bracelet,9 KT / Yellow Gold / Black,9K,2.54,0.73,42133.0,50941983064352,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00090.jpg?v=1763474315,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-17.jpg?v=1763619442,SG-DGB00090.jpg
Monarch Band Diamond Ceramic Flexi-Bracelet,14 KT / Yellow Gold / Black,14K,2.77,0.73,52884.0,50941983129888,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00090.jpg?v=1763474315,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-17.jpg?v=1763619442,SG-DGB00090.jpg
Monarch Band Diamond Ceramic Flexi-Bracelet,18 KT / Yellow Gold / Black,18K,3.28,0.73,66566.0,50941983195424,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00090.jpg?v=1763474315,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-17.jpg?v=1763619442,SG-DGB00090.jpg
The Powerline Diamond Ceramic Flexi-Bracelet,9 KT / Yellow Gold / Black,9K,2.69,1.43,61889.0,50941982671136,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00087.jpg?v=1763474306,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-20.jpg?v=1763619480,SG-DGB00087.jpg
The Powerline Diamond Ceramic Flexi-Bracelet,14 KT / Yellow Gold / Black,14K,2.94,1.43,73336.0,50941982736672,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00087.jpg?v=1763474306,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-20.jpg?v=1763619480,SG-DGB00087.jpg
The Powerline Diamond Ceramic Flexi-Bracelet,18 KT / Yellow Gold / Black,18K,3.48,1.43,87842.0,50941982802208,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00087.jpg?v=1763474306,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-20.jpg?v=1763619480,SG-DGB00087.jpg
Hybrid Link Diamond Ceramic Flexi-Bracelet,9 KT / Yellow Gold / Black,9K,2.86,0.95,50305.0,50941983392032,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00115_6d4dc838-6151-4c0e-aca4-fbccb76d3e6a.jpg?v=1763529919,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-18.jpg?v=1763619486,SG-DGB00115_6d4dc838-6151-4c0e-aca4-fbccb76d3e6a.jpg
Hybrid Link Diamond Ceramic Flexi-Bracelet,14 KT / Yellow Gold / Black,14K,3.12,0.95,62421.0,50941983457568,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00115_6d4dc838-6151-4c0e-aca4-fbccb76d3e6a.jpg?v=1763529919,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-18.jpg?v=1763619486,SG-DGB00115_6d4dc838-6151-4c0e-aca4-fbccb76d3e6a.jpg
Hybrid Link Diamond Ceramic Flexi-Bracelet,18 KT / Yellow Gold / Black,18K,3.69,0.95,77777.0,50941983654176,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00115_6d4dc838-6151-4c0e-aca4-fbccb76d3e6a.jpg?v=1763529919,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-18.jpg?v=1763619486,SG-DGB00115_6d4dc838-6151-4c0e-aca4-fbccb76d3e6a.jpg
Sovereign Link Diamond Ceramic Flexi-Bracelet,9 KT / Yellow Gold / Black,9K,2.15,0.53,33721.0,50941984211232,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00118.jpg?v=1763474361,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-17_8d22370f-9419-43a2-99bf-de890e484a50.jpg?v=1763619492,SG-DGB00118.jpg
Sovereign Link Diamond Ceramic Flexi-Bracelet,14 KT / Yellow Gold / Black,14K,2.35,0.53,42872.0,50941984276768,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00118.jpg?v=1763474361,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-17_8d22370f-9419-43a2-99bf-de890e484a50.jpg?v=1763619492,SG-DGB00118.jpg
