Category,Product URL,Purity,Gold Weight,Diamond Weight,Image Link,
ring,https://geer.in/products/aurelia-chain-link-emerald-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,1.96 g,1.18 ct,https://geer.in/cdn/shop/files/GJLR-225_R1.jpg?v=1750333663,GJLR-225_R1.jpg
ring,https://geer.in/products/papillon-sparkle-diamond-butterfly-ring/from_collection=lab-grown-diamonds-rings,14K,1.87 g,0.69 ct,https://geer.in/cdn/shop/files/GJLR-214_Y1.jpg?v=1750235490,GJLR-214_Y1.jpg
ring,https://geer.in/products/aurora-double-halo-oval-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.13 g,0.78 ct,https://geer.in/cdn/shop/files/GJLR-209_R1_25fde876-e066-4757-9ff8-7e1529865737.jpg?v=1750335782,GJLR-209_R1_25fde876-e066-4757-9ff8-7e1529865737.jpg
ring,https://geer.in/products/celestia-cluster-set-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.72 g,2.31 ct,https://geer.in/cdn/shop/files/GJLR-227_R1.jpg?v=1750335812,GJLR-227_R1.jpg
ring,https://geer.in/products/elysia-nine-stone-oval-diamond-band/from_collection=lab-grown-diamonds-rings,14K,2.08 g,1.62 ct,https://geer.in/cdn/shop/files/GJLR-220_R1.jpg?v=1750335909,GJLR-220_R1.jpg
ring,https://geer.in/products/celestia-triforme-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,1.87 g,1.69 ct,https://geer.in/cdn/shop/files/GJLR-226_R1.jpg?v=1750392427,GJLR-226_R1.jpg
ring,https://geer.in/products/celestia-diamond-burst-ring/from_collection=lab-grown-diamonds-rings,14K,1.82 g,0.53 ct,https://geer.in/cdn/shop/files/GJLR-206_R1.jpg?v=1750392601,GJLR-206_R1.jpg
ring,https://geer.in/products/amora-love-motif-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.04 g,0.61 ct,https://geer.in/cdn/shop/files/GJLR-197_Y1.jpg?v=1750235586,GJLR-197_Y1.jpg
ring,https://geer.in/products/adorelle-round-cut-delicate-lab-diamond-ring-copy/from_collection=lab-grown-diamonds-rings,14K,1.97 g,0.23 ct,https://geer.in/cdn/shop/files/AILR-182RD_W1.jpg?v=1751361685,AILR-182RD_W1.jpg
ring,https://geer.in/products/aurelia-5-stone-half-eternity-lab-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.21 g,0.24 ct,https://geer.in/cdn/shop/files/AILR-042RD_R1_8eaf758e-eaeb-4d31-8f7e-7807fef44409.jpg?v=1752146363,AILR-042RD_R1_8eaf758e-eaeb-4d31-8f7e-7807fef44409.jpg
ring,https://geer.in/products/celestia-trillion-embrace-ring/from_collection=lab-grown-diamonds-rings,14K,2.55 g,0.64 ct,https://geer.in/cdn/shop/files/GJLR-179_R1.jpg?v=1750393048,GJLR-179_R1.jpg
